title,description,pub_date,link,query
포성 울리면 증시 폭락? 1년 뒤 3% 오르더라,국채 금리는 하락한다. 안전 자산인 미 국채에 대한 수요가 높아지기 때문이다. 그러나 미국의 이란 공습 후 미국의 국채 금리는 오히려 상승세를 나타냈다. 미 투자은행 BNY멜론은 “미국 국채 수익률이 이란 전쟁 발발...,"Mon, 09 Mar 2026 00:36:00 +0900",https://www.chosun.com/economy/money/2026/03/09/O54N4LQARRGX3K36KIER7YYUTE/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,금리
코스피 폭락에 ‘저가 매수’ 노렸나… 이란戰 이후 ‘마통’ 1.3조원 늘...,당시에는 팬데믹 시기 저금리 환경 속에서 ‘영끌(영혼까지 끌어모아 투자)’과 빚투가 급증하던... 마이너스통장 잔액은 2021년 4월 말 52조8956억원으로 정점을 찍은 뒤 금리 상승과 가계 대출 규제 여파로 줄어...,"Mon, 09 Mar 2026 00:33:00 +0900",https://www.chosun.com/economy/economy_general/2026/03/09/X4V54YUM5VAK7FSGYDRLQAUJLY/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,금리
[사설] 스태그플레이션 기로에 선 경제…플랜B 준비해야,미국의 연내 기준금리 인하 기대는 크게 낮아졌다. 주요국 중앙은행이 추가 금리 인하를 중단하려는 움직임이 확산할 경우 채권 금리 상승으로 이어져 자금시장이 경색될 것이라는 비관적 전망도 나온다. 원유 가격...,"Mon, 09 Mar 2026 00:09:00 +0900",https://www.hankyung.com/article/2026030866591,금리
"[사설] “파업불참 해고 1순위”, 삼성전자 노조의 도 넘은 행태","앞서 삼성전자 노사 간 임금 협상에서 사측은 임금 6.2% 인상과 특별성과급 지급, 연 1.5% 금리의 5억 원 대출 등을 제시했지만 노조가 ‘성과급 상한 폐지’라는 과도한 요구를 철회하지 않으면서 합의에 이르지 못했다....","Mon, 09 Mar 2026 00:06:00 +0900",https://www.sedaily.com/article/20016634?ref=naver,금리
[사설] ‘중동전 확전·장기화’에 대비해야 한다,"(고유가·고환율·고금리)’ 쇼크가 커지고 있다. 특히 국제 유가가 급등해 배럴 당 80 달러를 넘나들고 있다.... 유가 급등은 수입 물가 상승을 유발해 생산자 물가와 소비자 물가를 동반 상승시키고, 한국은행의 금리...","Mon, 09 Mar 2026 00:04:00 +0900",https://m.skyedaily.com/news_view.html?ID=299768,금리
"XRP, 파생상품 거래 폭증...고래들이 설계한 변동성인가?",미국 고용 지표의 예상 밖 부진은 연방준비제도의 금리 정책 방향에 대한 불확실성을 키우고 있다. 2월... 고용 지표 악화는 2026년 상반기 금리 인하 가능성을 다시 부각시키며 달러 강세와 맞물려 비트코인(Bitcoin...,"Mon, 09 Mar 2026 00:02:00 +0900",http://coinreaders.com/222185,금리
"[기자의 눈] 중동 긴장 장기화 신호, 관건은 '금융의 속도'","KB금융은 환율·금리·유가를 실시간 점검하며 피해기업 지원에 나섰고, 신한금융은 그룹위기관리협의회를... 또  시장금리 상승 등 금융시장 불확실성이 커질 수 있음에 따라 각 계열사별로 치밀한 리스크 점검체계를...","Mon, 09 Mar 2026 00:00:00 +0900",https://www.insnews.co.kr/news/articleView.html?idxno=89437,금리
"생명보험사, '보장성' 확대로 CSM 전략 강화",실적은 금리 환경과 투자손익 변동에 따라 차별화될 가능성이 있다 고 말했다. ■ 채널 경쟁력 확보... 자산운용 부문에서는 금리부 자산 중심 포트폴리오를 유지하며 이자·배당 수익 확대를 통해 투자손익의...,"Mon, 09 Mar 2026 00:00:00 +0900",https://www.insnews.co.kr/news/articleView.html?idxno=89451,금리
KB국민은행 새희망홀씨 대출금리 1%p↓…“포용금융 앞장”,인더뉴스 문승현 기자ㅣKB국민은행(은행장 이환주)이 서민금융 대표상품 'KB새희망홀씨II' 신규대출 금리를... KB국민은행은 지난 6일부터 신규 취급되는 새희망홀씨II 상품 대출금리를 기존 5.47~6.47%(내부신용등급...,"Sun, 08 Mar 2026 22:58:00 +0900",https://www.inthenews.co.kr/news/article.html?no=83928,금리
"LG이노텍, '2026 동반성장 상생데이' 개최…협력사 ESG 지원  동반성장 ...","동반성장펀드는 시중 은행보다 낮은 금리로 협력사에 자금을 지원하는 것으로, 올해 총 1430억원 규모로 조성해 운영한다. 협력사의 ESG 역량 강화를 위한 지원 프로그램도 지속 운영한다. LG이노텍은 협력사가 글로벌...","Sun, 08 Mar 2026 22:46:00 +0900",http://www.econonews.co.kr/news/articleView.html?idxno=430182,금리
